place_id,place_type,place_name,place_address,place_phone_no
0,restaurant,Bernadines Cloud Kitchen,"35, Sholanke Akoka, Yaba, Lagos",0903 651 7676
1,restaurant,Abibiz Restaurant,"Murtala Mohammed International Airport, Ikeja, Lagos, Nigeria","0803 302 4280, 01 773 1431"
2,restaurant,Afi's Restaurant,"5 Olufemi Street, Surulere, Lagos, Nigeria",01 470 3044
3,restaurant,Aldente,"S11 Lagos City Mall, Onikan, Lagos, Nigeria","01 444 3944, 01 791 2942"
4,restaurant,All Seasons Restaurants,"Plot 867A, Bishop Aboyade Cole Street, Victoria Island, Lagos, Nigeria",01 262 3135
5,restaurant,Anis Restaurant,"11 Simpson Street, Lagos Island, Lagos, Nigeria",01 263 7556
6,restaurant,Appetizers Restaurant,"66 Ijaiye Road, Suite 33, Assembly Spot Complex, Ikeja, Lagos, Nigeria",0803 727 7483
7,restaurant,Atlantic Bar & Restaurant,"14B Adeola Hopewell Street, Victoria Island, Lagos, Nigeria","0802 327 1564, 01 261 0584"
8,restaurant,Ayus Restaurant And Bar,"2 Ibiyinka Olorunimbe Close, Victoria Island, Lagos, Nigeria","0703 381 4662, 0803 316 2543"
9,restaurant,Bangkok Restaurant,"Plot 244A, Muri Okunntola Street, Victoria Island, Lagos, Nigeria","0803 307 7666, 0706 217 3888"
10,restaurant,Barcelos,"66, Isaac John Street, G.R.A, Ikeja, Lagos, Nigeria","08019 115 1760, 0809 555 4085"
11,restaurant,Burgy's Fast Food & Restaurant,"72 Awolowo Road, Ikoyi, Lagos, Nigeria",01 268 6496
12,restaurant,Cal's Place Restaurant,"93 Allen Avenue, Ikeja, Lagos, Nigeria",01 471 9686
13,restaurant,Cera-Una-Volta Restaurant,"272 Ajose Adeogun Street, Victoria Island, Lagos, Nigeria",01 262 0357
14,restaurant,Chadon Kitchen,"12/16, Tiamiyu Olushile Street, Mende, Maryland, Lagos, Nigeria","0802 341 2769, 0802 562 0712"
15,restaurant,Chardonnay Restaurant & Bar,"Napex Centre, 3 Walter Carrington Crescent, Victoria Island, Lagos, Nigeria","0803 322 6955, 0803 322 9701"
16,restaurant,Cheesy Restaurant & Snacks Bar,"66 Ijaiye Ogba, Ikeja, Lagos, Nigeria",0802 343 2160
17,restaurant,Chicken Cooking Family Restaurant,"10 Kofo Abayomi Street, Victoria Island, Lagos, Nigeria",01 262 2225
18,restaurant,Chief Delight Restaurant,"14 Bornu Crescent, Apapa, Lagos State, Nigeria",+234 1 5872413
19,restaurant,China Restaurant And Bar,"26, Metro College, Oshodi Isolo, Lagos, Nigeria",0806 329 5125
20,restaurant,China Town Express Restaurant,"14 Idowu Martins Street, Lagos Island, Lagos, Nigeria","0704 095 4224, 0806 454 2582"
21,restaurant,Chinaville Chinese Restaurant,"9B, Abagbon Close, Off Ologun Agbaje Street, Victoria Island, Lagos, Nigeria","0802 314 1561, 0802 314 1560"
22,restaurant,Chopsticks Restaurant,"12 Opebi Road, Ikeja, Lagos, Nigeria",0803 332 1269
23,restaurant,Chow Mein Chinese Restaurant,"20, Prince Adelowo Adedeji Street, Lekki Estate Phase 1, Lagos, Nigeria",0818 734 3782
24,restaurant,Coors Restaurant and Lounge,"2 Abibu Adetoro Street, Off Ajose Adeogun Street, Victoria Island, Lagos Nigeria","0807 521 5266, 0806 801 4593, 0706 612 3210"
25,restaurant,Creek House Brasserie,"3, Ashabi Adedire Street, Opposite Apapa Boat Club, Apapa Lagos, Lagos","0808 532 1147, 0813 910 5423"
26,restaurant,Cuisine Africana Restaurant,"54 Shomade Crescent, Surulere, Lagos, Nigeria",01 585 2005
27,restaurant,Darling - Ro Restaurant,"1 Massey Street, Lagos Island, Lagos, Nigeria",01 263 1414
28,restaurant,Del Pizza Restaurant and Take Away,"65 Okesuna Street, Lafiaji, Lagos, Nigeria",01 260 2487
29,restaurant,Demmies Delight,"254, Agege Motor Road, Mushin, Lagos, Nigeria",0802 208 3653
30,restaurant,Double Four Restaurant & Eatery,"2A, Saka Jojo Street, Victoria Island, Lagos, Nigeria",0709 800 7317
31,restaurant,Eat It All,"46, Bode Thomas Street, Ikeja, Lagos, Nigeria",0803 049 1095
32,restaurant,Edikang Restaurant,"1 Olundegun Street, Ire-Akari Estate, Isolo, Lagos, Nigeria",01 525213
33,restaurant,Emperor's Hotels & Restaurant,"12A Opebi Road, Ikeja, Lagos Nigeria","0909 868 9016, 0708 144 9307, 0803 332 1269"
34,restaurant,Enjoyurmouth.com,"Lekki Ajah, Lagos, Lagos State Nigeria",088034310244
35,restaurant,Fazoc Restaurant,"26 Norman Williams Street, South West, Ikoyi, Lagos, Nigeria",0803 347 4840
36,restaurant,Glory's Restaurant,"82 Allen Avenue, Ikeja, Lagos, Nigeria"," 0802 290 4431, 01 7749535"
37,restaurant,Goat Hunters Restaurant,"3 Adeleke Street, Ikeja, Lagos, Nigeria","0803 313 0964,  0803 312 8446"
38,restaurant,Goshen Restaurant And Bar,"9/10, Iponri Powa Dhopping Plaza, Surulere, Lagos, Nigeria"," 0803 725 9431, 0803 194 4299"
39,restaurant,Home Cooking Restaurant,"38A, Awolowo Road, Ikoyi, Lagos, Nigeria","01 473 5320, 01 262 2559"
40,restaurant,Home Restaurant & Bar,"81 Ogudu G.R.A, Ojota, Lagos, Nigeria",0802 346 5491
41,restaurant,House J. Luxury Apartments & Restaurant,"11, Joel Ogunnaike Street, G.R.A., Ikeja, Lagos, Nigeria","01 290 4332, 01 271 7565 - 7"
42,restaurant,Karma Restaurant,"17, Burma Road, Apapa, Lagos, Nigeria","0816 569 6021, 0909 034 9081"
43,restaurant,La Giara Restaurant,"30 Mobolaji Bank Anthony Way, Ikeja, Lagos, Nigeria",01 280 0100
44,restaurant,La Veranda Restaurant,"17, Oju Olobun Street, Victoria Island, Lagos, Nigeria",0812 111 1222
45,restaurant,Labamba Restaurant," 9, Oba Nle Aro Avenue,  Ilupeju, Lagos, Nigeria","0803 311 2093, 090 407 7928"
46,restaurant,Lagoon Restaurant,"1C, Ozumba Mbadiwe Street, Victoria Island, Lagos, Nigeria","0805 555 5550, 0803 305 3536"
47,restaurant,Le Rendezvous Restaurant,"Olatunji House, 299 Ikorodu Road, Maryland, Lagos, Nigeria",01 496 2179
48,restaurant,Les Amis Restaurant,"160 Awolowo Road, Ikoyi, Lagos, Nigeria",01 268 0697
49,restaurant,Lighthouse Restaurant,"Elephant House Plaza, 239/241 Ikorodu Road, Anthony Village, Lagos, Nigeria",01 493 9329
50,restaurant,Majesty's Kitchen,"Elpina Plaza Adeyemo Alakija Street, Victoria Island, Lagos, Nigeria","0810 614 7321, 0708 461 6196"
51,restaurant,Mama Cass Restaurants Limited,"4a Oyeleke Street, Off Kudirat Abiola Way, Oregun, Ikeja, Lagos, Nigeria","0807 229 2436, 0807 22 92447, 0807 229 2446"
52,restaurant,Mama Kemi Restaurant,"Maryland Shopping Complex, Suite BE 1A, 360 I, Maryland, Lagos, Nigeria",0803 301 9943
53,restaurant,Manna's Restaurant,"Western House, 8/10 Broad Street, Lagos Island, Lagos, Nigeria",0802 312 3698
54,restaurant,Mano's Delight,"Edmark D’podium, 31B Aromire Avenue, Ikeja, Lagos","0809 900 0027, 0809 357 8298"
55,restaurant,Marco-Polo Chinese Restaurant,"9A Karimu Kotun Street, Victoria Island, Lagos, Nigeria","01 270 0248, 01 444 8938"
56,restaurant,Mia Delizia Italian Restaurante,"Plot 3, Block 44 ,Samuel Edosa Street, Lagos Mainland, Lagos, Nigeria","0816 237 4907, 0818 231 9255"
57,restaurant,Ms Food,"6, Olawaiye Street, off Anifowoshe, Akinremi str., Ikeja, Lagos Nigeria",0703 017 5434
